name,category,role,allergen_tags,soft_hint
Eggs,breakfast,protein,egg,
Greek yogurt,breakfast,protein,dairy,
Milk,breakfast,protein,dairy,
Cottage cheese,breakfast,protein,dairy,
Oatmeal,breakfast,carb,,
Whole-grain bread,breakfast,carb,gluten,
Whole-grain cereal,breakfast,carb,gluten,
Berries,breakfast,produce,,
Apples,breakfast,produce,,
Oranges,breakfast,produce,,
Peanut butter,breakfast,protein,nuts,
Avocado,breakfast,fat,,
100% orange juice,breakfast,carb,,
Whole-grain pancake mix,breakfast,carb,gluten;egg,
Pear,breakfast,produce,,
Almond butter,breakfast,fat,nuts,
Chia seeds,breakfast,fat,,
Bananas,pre_fuel,carb,,extra for game day
Bagels,pre_fuel,carb,gluten,extra for game day
Pretzels,pre_fuel,carb,gluten,
Applesauce,pre_fuel,carb,,
Granola bars,pre_fuel,carb,gluten;nuts,
Rice cakes,pre_fuel,carb,,
Crackers,pre_fuel,carb,gluten,
Dried fruit (raisins),pre_fuel,carb,,
Fruit snacks,pre_fuel,carb,,
English muffins,pre_fuel,carb,gluten,
Graham crackers,pre_fuel,carb,gluten,
Dates,pre_fuel,carb,,
Honey,pre_fuel,carb,,
Dried figs,pre_fuel,carb,,
Corn tortilla,pre_fuel,carb,,
Jelly beans,pre_fuel,carb,,
Chocolate milk,recovery,recovery,dairy,best within 45 min
Tart cherry juice,recovery,recovery,,
String cheese,recovery,protein,dairy,
Deli turkey slices,recovery,protein,,
Hummus,recovery,protein,,
Edamame,recovery,protein,soy,
Trail mix,recovery,protein,nuts,
Hard-boiled eggs,recovery,protein,egg,
Protein recovery bar,recovery,protein,gluten;nuts,
Frozen smoothie fruit,recovery,produce,,
Whole-grain wrap,recovery,carb,gluten,
Tart cherries,recovery,produce,,
Pomegranate,recovery,produce,,
Walnuts,recovery,fat,nuts,
Cashews,recovery,fat,nuts,
Pistachios,recovery,fat,nuts,
Pumpkin seeds,recovery,fat,,
Sunflower seeds,recovery,fat,,
Electrolyte mix,hydration,hydration,,for game and tournament days
Sports drink,hydration,hydration,,
Low-sugar sports drink,hydration,hydration,,
Coconut water,hydration,hydration,,
Electrolyte tablets,hydration,hydration,,
Watermelon,hydration,produce,,
100% fruit juice,hydration,hydration,,
Bottled water,hydration,hydration,,
Chicken breast,dinner_staple,protein,,stock up
Ground turkey,dinner_staple,protein,,
Lean ground beef,dinner_staple,protein,,
Salmon,dinner_staple,protein,fish,
Tofu,dinner_staple,protein,soy,
Beans and lentils,dinner_staple,protein,,
Brown rice,dinner_staple,carb,,stock up
Pasta,dinner_staple,carb,gluten,
Sweet potatoes,dinner_staple,carb,,
Potatoes,dinner_staple,carb,,
Quinoa,dinner_staple,carb,,
Mixed vegetables,dinner_staple,produce,,
Whole-grain tortillas,dinner_staple,carb,gluten,
Shredded cheese,dinner_staple,protein,dairy,
White rice,dinner_staple,carb,,
Millet,dinner_staple,carb,,
Plantain,dinner_staple,carb,,
Flour tortilla,dinner_staple,carb,gluten,
Roti / chapati,dinner_staple,carb,gluten,
Naan,dinner_staple,carb,gluten;dairy,
Cornbread,dinner_staple,carb,gluten;egg,
Injera,dinner_staple,carb,gluten,
Lentils,dinner_staple,protein,,
Chickpeas,dinner_staple,protein,,
Paneer,dinner_staple,protein,dairy,
Tahini,dinner_staple,fat,nuts,
Olives,dinner_staple,fat,,
Beets,dinner_staple,produce,,
Broccoli,dinner_staple,produce,,
Green peas,dinner_staple,produce,,
Carrots,dinner_staple,produce,,